"identifier","title","object_type","dataset_path","geo_bounds","names","temporal_bounds","depictions","matches"
"http://dare.ht.lu.se/places/43530","Roman aqueduct, Mitiline, Lesbos","Place","[{""title"":""dare-20160328"",""id"":""dare-20160328""}]","{""min_lon"":26.514763,""max_lon"":26.514763,""min_lat"":39.12614,""max_lat"":39.12614}","[""Roman aqueduct, Mitiline, Lesbos""]",,,
"http://pleiades.stoa.org/places/738817254","Ansignan aqueduct","Place","[{""title"":""pleiades"",""id"":""pleiades""}]","{""min_lon"":2.5140266,""max_lon"":2.5140266,""min_lat"":42.764505,""max_lat"":42.764505}",,,,
"http://pleiades.stoa.org/places/403927","Caldaccoli aqueduct","Place","[{""title"":""pleiades"",""id"":""pleiades""}]","{""min_lon"":10.4367702,""max_lon"":10.4367702,""min_lat"":43.7689323,""max_lat"":43.7689323}",,,,
"http://topostext.org/place/352254BTei","Lyttos aqueduct (Lasithi)","Place","[{""title"":""ToposText Places"",""id"":""ToposText Places""}]","{""min_lon"":25.3818,""max_lon"":25.3818,""min_lat"":35.1985,""max_lat"":35.1985}",,"{""start"":-750,""end"":640}",,
"http://pleiades.stoa.org/places/246891","Albarracín-Cella Roman aqueduct","Place","[{""title"":""pleiades"",""id"":""pleiades""}]","{""min_lon"":-1.5,""max_lon"":-1.5,""min_lat"":40.5,""max_lat"":40.5}",,,,
"http://pleiades.stoa.org/places/423564","Aqua Iulia","Place","[{""title"":""pleiades"",""id"":""pleiades""}]","{""min_lon"":12.625,""max_lon"":12.625,""min_lat"":41.875,""max_lat"":41.875}","[""Aqua Iulia""]","{""start"":-30,""end"":640}",,
"http://topostext.org/place/393208BAqu","Nicopolis aqueduct (Preveza)","Place","[{""title"":""ToposText Places"",""id"":""ToposText Places""}]","{""min_lon"":20.8489,""max_lon"":20.8489,""min_lat"":39.2711,""max_lat"":39.2711}",,"{""start"":-750,""end"":640}",,
"http://vici.org/vici/31089","Roman Aqueduct","Place","[{""title"":""Vici"",""id"":""Vici""}]","{""min_lon"":10.3172561,""max_lon"":10.319837,""min_lat"":36.8574724,""max_lat"":36.8594356}",,,"[""http://vici.org/image/8102""]",
"http://pleiades.stoa.org/places/246893","Pont de les Ferreres","Place","[{""title"":""pleiades"",""id"":""pleiades""}]","{""min_lon"":1.2438,""max_lon"":1.2438,""min_lat"":41.146,""max_lat"":41.146}","[""Pont de les Ferreres""]","{""start"":-30,""end"":640}","[""http://vici.org/image/68""]","[""http://dare.ht.lu.se/places/22475"",""http://vici.org/vici/7895"",""http://www.wikidata.org/entity/Q623448""]"
"http://vici.org/vici/47244","Roman Aqueduct","Place","[{""title"":""Vici"",""id"":""Vici""}]","{""min_lon"":9.133034,""max_lon"":9.133034,""min_lat"":36.391174,""max_lat"":36.391174}",,,"[""http://vici.org/image/11790""]",
"http://vici.org/vici/22338","Roman aqueduct","Place","[{""title"":""Vici"",""id"":""Vici""}]","{""min_lon"":16.0263742,""max_lon"":16.0485209,""min_lat"":44.0206203,""max_lat"":44.0439246}",,,,
"http://vici.org/vici/21693","Roman aqueduct","Place","[{""title"":""Vici"",""id"":""Vici""}]","{""min_lon"":16.489658,""max_lon"":16.489658,""min_lat"":43.524178,""max_lat"":43.524178}",,,,
"http://vici.org/vici/46058","Roman Aqueduct","Place","[{""title"":""Vici"",""id"":""Vici""}]","{""min_lon"":-0.477085,""max_lon"":-0.477085,""min_lat"":38.844017,""max_lat"":38.844017}",,,"[""http://vici.org/image/11525""]",
"http://vici.org/vici/46059","Roman Aqueduct","Place","[{""title"":""Vici"",""id"":""Vici""}]","{""min_lon"":-0.475777,""max_lon"":-0.475777,""min_lat"":38.843796,""max_lat"":38.843796}",,,,
"http://pleiades.stoa.org/places/167872","Pont d'Aël, Pondel, Aymavilles","Place","[{""title"":""pleiades"",""id"":""pleiades""}]","{""min_lon"":7.25,""max_lon"":7.25,""min_lat"":45.75,""max_lat"":45.75}","[""Pont d'Aël, Pondel, Aymavilles""]",,"[""http://vici.org/image/643""]","[""http://dare.ht.lu.se/places/39592"",""http://vici.org/vici/12026"",""http://www.wikidata.org/entity/Q844246""]"
"http://pleiades.stoa.org/places/256389","Embalse de Proserpina","Place","[{""title"":""pleiades"",""id"":""pleiades""}]","{""min_lon"":-6.367146,""max_lon"":-6.366483,""min_lat"":38.9679,""max_lat"":38.971604}","[""Proserpina"",""Embalse de Proserpina""]","{""start"":-30,""end"":300}","[""http://vici.org/image/3070"",""http://vici.org/image/3071""]","[""http://dare.ht.lu.se/places/40577"",""http://vici.org/vici/12044"",""http://vici.org/vici/15666"",""http://www.wikidata.org/entity/Q1818061""]"
"http://vici.org/vici/26357","Athens, Roman aqueduct","Place","[{""title"":""Vici"",""id"":""Vici""}]","{""min_lon"":23.726437,""max_lon"":23.726437,""min_lat"":37.974102,""max_lat"":37.974102}",,,,
"http://pleiades.stoa.org/places/550749","Moria","Place","[{""title"":""pleiades"",""id"":""pleiades""}]","{""min_lon"":26.516266,""max_lon"":26.516266,""min_lat"":39.13257,""max_lat"":39.13257}","[""Moria""]","{""start"":-750,""end"":640}",,"[""http://dare.ht.lu.se/places/29104"",""http://topostext.org/place/391265BMor""]"
"http://topostext.org/place/380238BAqu","Hadrianic aqueduct (Attica)","Place","[{""title"":""ToposText Places"",""id"":""ToposText Places""}]","{""min_lon"":23.7595,""max_lon"":23.7595,""min_lat"":38.039,""max_lat"":38.039}",,"{""start"":-750,""end"":640}",,
"http://pleiades.stoa.org/places/80032","Unnamed aqueduct(s) at Dolaucothi, Wales","Place","[{""title"":""pleiades"",""id"":""pleiades""}]","{""min_lon"":-3.5,""max_lon"":-3.5,""min_lat"":52.5,""max_lat"":52.5}",,,,